text_id,post_text,sentiment_label,predicted_label
TXT_00003,Would you like to join us at our annual gala at the Sandman Signature Resort on Oct 25? Contact our centre at 6042773100 for tickets!,Positive,Neutral
TXT_00010,"""1st game played under Solar Powered floodlights in the world happened in MYSA,Nairobi Kenya. #PhilipsLED""",Neutral,Positive
TXT_00092,I may have just dropped two letter grades of intelligence after listening to that Kanye West rant...,Negative,Neutral
TXT_00108,November 21 in the lonely hour tour.. OKAY SAM SMITH OKAY!!!! :-(((( TAPOS SOLD OUT PA OKAY!!!!! OKAY LANG TALAGA,Negative,Neutral
TXT_00131,"@user Milan, in my opinion, have only the 7th best squad, after Inter, Roma, Juventus, Lazio, Napoli and Fiorentina.""",Neutral,Positive
TXT_00142,"""Saudi security forces opened fire on Shia protesters in the tense Qatif district of Eastern Province on Friday,  Detail",Negative,Neutral
TXT_00146,"""Saudi security forces opened fire on Shia protesters in the tense Qatif district of Eastern Province on Friday,  Detail",Negative,Neutral
TXT_00181,This is the 2nd time Caitlyn Jenner has committed manslaughter #BruceJenner,Neutral,Negative
TXT_00185,@user going by the last 3 games yes.I think son may bring last season Kane back.He under to much pressure .We expect to much of him,Positive,Neutral
TXT_00249,uhh Oracle if there is no spoon what am I eating this 4th can of Spaghettios with?,Neutral,Negative
TXT_00260,"Aka. I should be doing productive sunday things, but I'm just watching Mariah Carey videos on youtube",Neutral,Positive
TXT_00279,@user Good Morning\u002c Hong Kong!  Meme pa ang kasama ko\u002c may headache :(  What\u2019s the jap resto again in LKF other than Ippudo?,Neutral,Positive
TXT_00281,I've woke up everyday since August 1st to google frank ocean for news. Everyday I don't have his new album is a day not worth waking up for,Neutral,Positive
TXT_00287,@user @user @user the States ensured SCOTUS could take this action by enacting 14th Amendment,Neutral,Negative
TXT_00296,"SUN UPDATE: UFC 191, Beyonce with Ronda Rousey, Jimmy Snuka, TUF, New WWE stable, CHIKARA King of Trios",Positive,Neutral
TXT_00314,Perseverance is failing 19 times and succeeding the 20th. Julie Andrews,Positive,Neutral
TXT_00326,@user son I saw a house last night was 1.9 mil behind hella trees that looked like the palace from Aladdin no bullshit lol,Neutral,Negative
TXT_00366,"""Ant-Man ends this Thursday. See it before it goes. Plays daily at 1:15, 3:50, 6:40 &amp; 9:40 PM",Neutral,Positive
TXT_00367,Men\u2019s latest bedroom worry: \u201950 Shades\u2019: E L James\u2019 \u2019Fifty Shades of Grey\u2019 may be supercharging the sex-drives o...,Negative,Neutral
TXT_00370,"""A respected American Muslim scholar of law weighs in: Obergefell, Marriage Equality and Islam in the West",Neutral,Negative
TXT_00374,When you're about to not go to school to go see Justin.,Positive,Negative
TXT_00387,Damn I forgot to go off on Bernie Sanders supporters today. I guess I'll just hold off until tomorrow,Negative,Positive
TXT_00389,Tomorrow\u002c the biggest name in music & entertainment is on the show! And no it\u2019s not Ricky Martin. Who is it? Click -,Positive,Negative
TXT_00399,@user went to QF with Kerry lad who before game hoped that dubs would not beat Kerry by a cricket score. Game over in 1st 10 mins cute,Negative,Neutral
TXT_00402,Fuck a Saturday class I just wanna go home and play with our squirrel and watch Jurassic Park,Negative,Positive
TXT_00403,"""Lets fly like a bird! This friday a new Birdhouse edition at the Jimmy Woo with Flava, Clay, Youri Alexander, Don Perigion and more!""",Neutral,Positive
TXT_00410,@user I may relent and get one myself\u002c but I hope it doesn\u2019t come to that. Hopefully all the decent apps will get ported to android,Neutral,Positive
TXT_00419,"Yet it's never the right time to talk gun control. Right, Bobby Jindal?",Neutral,Negative
TXT_00423,"""GOAL Neymar! 0-2, reminds me of the game before between Valencia &amp; Atleti just at the end of the 1st half! #fcblive #rayfcb""",Positive,Neutral
TXT_00433,@user lol bruh pls dont miss ur flight tommorow i had you winning with Oracle at 3rd Prof 2nd,Neutral,Positive
TXT_00469,Hulk Hogan you did nothing wrong! I work a black man. We call each other nigga all the time. He may be my...,Positive,Negative
TXT_00476,I was a Donald Trump supporter for PResident but then I heard John Kasich make some good point so now so I switched - said no one tomorrow,Neutral,Negative
TXT_00482,The Guardian view on the BBC plans: nice ideas but much to prove | Editorial via @user,Positive,Neutral
TXT_00504,My soup just blew up in the microwave and exploded everywhere. So far today has been a bigger bitch than Madonna is to hydrangeas.,Negative,Positive
TXT_00514,"@user @user @user @user Seinfeld when Kramer is lost and confused, ""I'm on the corner of 1st and 1st?",Positive,Negative
TXT_00526,@user i am going to the london grand prix on the saturday next year! Might meet you there!!,Neutral,Positive
TXT_00530,"Oh shit, might be going to ihop tomorrow Elliott gone kill me",Neutral,Negative
TXT_00552,How To Dress Well plays Santos Party House on October 8th with o f f Love and Warm Ghost!,Neutral,Positive
TXT_00571,Dustin Johnson moves to 6-under through 11. Clearly the strategy is to get so far ahead that penalty strokes on Sunday won't matter.,Neutral,Positive
TXT_00576,Chris Brown comes sept 15th and tickets are only $40. They're not great seats but still...Someone should go with me,Positive,Negative
TXT_00608,I still have a lot of candy left anyone want tomorrow :\u2019),Positive,Neutral
TXT_00610,@user Grow it out. I wanna see a part in the middle and Bali beads either side before the 31st of Fan.,Neutral,Positive
TXT_00614,"Mass Mayor Puts Jindal On Blast - Bobby Jindal may not make the first Republican primary debate, but he has found ...",Neutral,Negative
TXT_00635,"""The 2nd act released onto the FUTURE-ONE line up is the massive ORGAN DONORS! 30th November @ City Nightclub, Falkirk. #Nutcases""",Neutral,Positive
TXT_00636,The Foo Fighters noise will be so annoying on Saturday trying to watch the football,Negative,Positive
TXT_00664,One hour to our Thursday Stream! Let's try and beat the Rotten in Dark Souls 2 this time! #twitch,Neutral,Positive
TXT_00670,"""Cainer was given a Key to the City of SF. June 13th will also forever be known as """"""""Matt Cain Day."""""""" #SFGiants #PerfectCain""",Positive,Neutral
TXT_00685,if i can change my schedule right now im gucci so i wont have to worry about tomorrow when i see her,Neutral,Negative
TXT_00698,"""Hillary's passionate about overturning Citizens United because she knows 1st hand what it's done to our democracy""",Positive,Negative
TXT_00712,What are you doing this Thursday night? Want to find your true self? Zen out and reach nirvana with a little free...,Neutral,Positive
TXT_00721,De La Soul is Sunday at Clockenflap?! WTF! At least they had the decency to sched Uptown Rockers for Saturday @user #NYinHK,Negative,Neutral
TXT_00735,May have smoked a blunt with Jay-Z at the @user show last nigh trying to remember..No big deal but i want his connect shits fire !!!,Positive,Negative
TXT_00738,Most Anticipated mixtape of the year @user THE JUUG MAN!! Club Crucial Aug 2nd (THUR),Positive,Neutral
TXT_00753,"Don't Trust The ""New Kurt Cobain Album"": On November 6, Brett Morgen, director of the recent Kurt Cobain docum...",Negative,Neutral
TXT_00763,"@user If it keeps making money for HBO, they may have to start going to former colonies as well. Or even have to take Madonna.",Neutral,Negative
TXT_00786,Been using the @user watch for a few days now and going to compare it to the Apple Watch tomorrow on OMN.,Neutral,Positive
TXT_00792,@user he's competing against Brock Lesnar in Brooklyn New York tomorrow!,Positive,Neutral
TXT_00807,Will Fleeing Syrians Flood the Food banks or be served at The Ritz ?  David Cameron Merkel Duncan Smith Theresa May The Pope Sentimentalists,Positive,Neutral
TXT_00811,Ok time to check back in with tennis - Isner and Federer heading into a 2nd tiebreak,Positive,Neutral
TXT_00813,"And @user Mail, Calendar, Music, and Video apps have been rewritten for the third time in four years...",Negative,Neutral
TXT_00827,@user If you watch Any Given Sunday backwards\u002c it\u2019s like Tim Tebow\u2019s career.,Negative,Neutral
TXT_00837,Rondo should be glad the All-Star game isn\u2019t hosted in DC with those Galaxy Foams on.,Positive,Negative
TXT_00840,Sara McMann i delusional.. She says the 3rd Tate fight makes but then wants a rematch herself. UFC won't waste a Rousey fight on McMann,Negative,Neutral
TXT_00846,I have 2 passes for Looper in Pico Rivera on Thursday. Message or text me if you want them.,Positive,Neutral
TXT_00848,Hello mutuals who's going to The Vamps' concert in Manila on Jan 30:),Positive,Neutral
TXT_00850,How am I barely finding out about these Kendrick and J. Cole remixes that dropped on BLACK FRIDAY?,Positive,Neutral
TXT_00855,@user set of skills. Skills that may make me a pleasure for a woman like you. I won't go Floyd Mayweather on you but I will fornicate,Positive,Negative
TXT_00859,@user Did you not see my reply? Barca's front 3 tomorrow. Don't EVEN @ me.,Neutral,Negative
TXT_00863,"""First Kim Kardashian tries to break the Internet and now this!The 35-year-old reality star launched her emoji app, Kimoji, on Monday and""",Positive,Neutral
TXT_00880,Google Wallet is coming to MetroPCS\u002c so now you won\u2019t need to sign a contract to have your identity stolen. More jokes:,Negative,Positive
TXT_00886,Well with Zayn joining ISIS it is hard to maintain their family friendly image.,Negative,Neutral
TXT_00887,"""David Coulthard says Fernando Alonso may have lost some leverage in negotiations with McLaren, adding that Merc...",Neutral,Negative
TXT_00898,Finished filling out the FAFSA for this scholarship application. Hopefully it\u2019s processed before November 15\u002c \u2019cause I need it by then.,Positive,Neutral
TXT_00919,"""14-Aug  The day of independence,  The day of Sacrifices of Muslims, The Victory of Pakistan, I proud to be a...",Neutral,Negative
TXT_00932,"""Frank Gifford, Howard Cosell and """"Dandy Don"""" Meredith made Monday Night Football what it is. Rest in peace, guys. You were a hoot.""",Positive,Neutral
TXT_00938,@user Or SJP\u2019s evil twin who\u2019s plotting to put out the sun.,Negative,Neutral
TXT_00977,The ONLY line I will remember tomorrow is John Kasich's dad was a mailman..... Who the hell cares?!?!? @user,Negative,Neutral
TXT_01008,"""My piece on Mehdi Hasan &amp; abortion on @user """"""""Yes, being pro-life does make you less of a lefty""""""""",Neutral,Negative
TXT_01019,Do #mets walk Harper if rendon gets bunt down?  Is Matt Williams under the weather? Pap in 8th facing bottom of order? Left storen out 2 dry,Neutral,Negative
TXT_01033,Ricky Ponting was pulled out of a Sheffield Shield game on Friday with a hamstring injury.,Neutral,Negative
TXT_01039,May have smoked a blunt with Jay-Z at the @user show last nigh trying to remember..No big deal but i want his connect shits fire !!!,Positive,Negative
TXT_01046,"""Bad Blood is a v catchy song but the lyrics are such a """"omg he sat next to my bff at lunch instead of me"""" anthem.""",Neutral,Negative
TXT_01060,"@user umm I'm in the debate right now. I'm looking at the Tribe party at the Hardrock on Thursday, Rave, Jouvert, scorch cooler fete""",Neutral,Positive
TXT_01063,"""While MSNBC host Chris Matthews may be over the moon about John Kasich, seeing him as the most """"moderate"""" and...",Neutral,Positive
TXT_01067,Like Miley said she didn't look into everything but she thought Nicki may have been subbing her but she didn't know for sure. Her words.,Neutral,Negative
TXT_01068,Still time to ask Saturday Kitchen legend James Martin a question\u002c he\u2019s just given us the lowdown on Strictly,Neutral,Negative
TXT_01074,"""\""""@FactsAboutMitt: @user falsely claimed he saw his father march with Martin Luther King Jr.  #Facts #Truth""",Negative,Neutral
